county,year,week,aqi,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,co_8hr,pm2.5_avg,pm10_avg,so2_avg
Chiayi City,2020,42,73.80952380952381,3.161077844311377,0.38413173652694615,33.97904191616767,33.76190476190476,53.69461077844311,24.70909090909091,13.14311377245509,14.799999999999999,1.6479041916167665,0.39047619047619053,24.791666666666668,53.875,3.1785714285714284
Chiayi City,2020,43,68.72619047619048,2.581927710843374,0.40226190476190476,32.74311377245509,33.19047619047619,46.5688622754491,22.81437125748503,15.224698795180723,16.957831325301203,1.7421686746987952,0.4041666666666667,22.654761904761905,46.23809523809524,2.613095238095238
Chiayi City,2020,44,82.6547619047619,3.169461077844311,0.39814371257485026,31.737951807228917,31.88095238095238,57.4,28.25748502994012,15.971856287425151,17.94431137724551,1.9760479041916168,0.3958333333333333,28.303571428571427,58.11764705882353,3.107142857142857
Chiayi City,2020,45,74.52380952380952,2.9464285714285716,0.38982142857142854,31.317261904761907,30.93452380952381,50.50898203592814,24.867469879518072,14.942857142857143,17.413690476190474,2.4714285714285715,0.39166666666666666,25.029761904761905,50.958333333333336,3.0297619047619047
Chiayi City,2020,46,70.58928571428571,3.534939759036144,0.418433734939759,19.55722891566265,20.285714285714285,43.89820359281437,23.75449101796407,19.412048192771085,22.406024096385543,3.0018072289156628,0.4226190476190476,23.452380952380953,43.095238095238095,3.267857142857143
Chiayi City,2020,47,94.48809523809524,2.5647058823529414,0.5058823529411764,27.20952380952381,28.297619047619047,61.529411764705884,33.345238095238095,15.81764705882353,17.814117647058826,2.0023529411764707,0.5095238095238095,32.95238095238095,60.92857142857143,2.738095238095238
Chiayi City,2020,48,74.65882352941176,3.036144578313253,0.45267857142857143,27.098780487804877,27.211764705882352,54.06547619047619,24.803571428571427,15.322754491017964,17.736526946107784,2.4203592814371255,0.46058823529411763,25.141176470588235,54.60588235294118,3.0
Chiayi City,2020,49,56.851190476190474,2.418562874251497,0.3717964071856288,25.61867469879518,25.773809523809526,38.48795180722892,18.373493975903614,16.51385542168675,18.58132530120482,2.066867469879518,0.37142857142857144,18.196428571428573,38.25595238095238,2.3452380952380953
Chiayi City,2020,50,77.67857142857143,2.3491017964071856,0.4566467065868264,19.753293413173655,19.636904761904763,44.52694610778443,27.562874251497007,18.247904191616765,21.05449101796407,2.811377245508982,0.44761904761904764,26.422619047619047,43.333333333333336,2.511904761904762
Chiayi City,2020,51,68.50617283950618,2.589171974522293,0.41950000000000004,22.20880503144654,22.635802469135804,36.425,22.56875,16.785443037974684,19.170886075949365,2.382911392405063,0.4296296296296296,23.77777777777778,38.03086419753087,2.5987654320987654
Chiayi City,2020,52,79.28402366863905,2.9708333333333337,0.41876470588235293,17.615384615384617,17.82456140350877,42.758823529411764,27.23076923076923,19.22662721893491,23.063313609467453,3.837278106508876,0.41403508771929826,26.98830409356725,42.666666666666664,3.1403508771929824
Chiayi City,2020,53,86.80630630630631,3.0640552995391706,0.4282027649769585,20.96990740740741,20.81981981981982,52.85581395348837,30.493023255813952,16.96046511627907,19.156279069767443,2.1846511627906975,0.4272972972972973,30.53669724770642,52.5045871559633,2.9144144144144146
Chiayi City,2021,1,62.79354838709678,2.201618122977346,0.3719093851132686,20.991585760517797,20.98709677419355,33.3915857605178,20.779935275080906,15.705825242718447,18.150485436893202,2.426537216828479,0.35980645161290326,20.616129032258065,33.04516129032258,1.8741935483870968
Chiayi City,2021,2,102.28358208955224,3.14955223880597,0.49002985074626865,25.88746177370031,25.307692307692307,61.141993957703924,36.16516516516516,19.497910447761196,22.549850746268657,3.0316417910447764,0.4644776119402985,36.3044776119403,60.91044776119403,3.011940298507463
Chiayi City,2021,3,123.66071428571429,3.0787425149700596,0.5176646706586826,18.889846153846154,18.619631901840492,76.2994011976048,47.7027027027027,21.478143712574848,26.523652694610778,5.022155688622755,0.48482142857142857,46.970238095238095,75.26785714285714,2.767857142857143
Chiayi City,2021,4,123.79464285714286,3.0306060606060607,0.545939393939394,25.65045592705167,25.404833836858007,79.37349397590361,45.32934131736527,19.603333333333335,22.12151515151515,2.498787878787879,0.5282738095238095,45.413690476190474,79.46428571428571,2.8601190476190474
Chiayi City,2021,5,136.69850746268656,2.756456456456456,0.534894894894895,31.784084084084085,31.576119402985075,83.66366366366367,52.18318318318318,19.646827794561936,22.196374622356494,2.5329305135951663,0.5080597014925373,51.75820895522388,83.20298507462687,2.4955223880597015
Chiayi City,2021,6,96.42261904761905,1.711904761904762,0.3970833333333333,29.322023809523813,28.93452380952381,56.16883116883117,34.48795180722892,12.789820359281437,14.011077844311377,1.2233532934131737,0.38244047619047616,35.032738095238095,57.2,1.619047619047619
Chiayi City,2021,7,98.63392857142857,2.307185628742515,0.3937724550898204,33.83734939759036,33.657738095238095,56.23353293413174,34.21084337349398,13.876646706586827,15.83203592814371,1.93562874251497,0.36875,34.592261904761905,56.69940476190476,1.9047619047619047
Chiayi City,2021,8,111.56586826347305,2.977245508982036,0.4058682634730539,28.22814371257485,28.24251497005988,65.26506024096386,40.52710843373494,15.457784431137723,18.63053892215569,3.1526946107784433,0.37964071856287424,40.0688622754491,64.2125748502994,2.595808383233533
Chiayi City,2021,9,106.53211009174312,3.038153846153846,0.48218461538461543,21.832307692307694,21.501529051987767,59.88923076923077,38.44307692307692,17.344615384615384,20.352307692307694,2.9855384615384613,0.4608562691131498,38.59021406727829,60.36085626911315,2.926605504587156
Chiayi City,2021,10,122.1731343283582,2.655357142857143,0.475297619047619,31.615476190476187,31.00297619047619,75.61676646706587,45.93413173652694,15.171726190476189,17.23035714285714,2.0348214285714286,0.44910714285714287,45.44345238095238,74.49404761904762,2.4017857142857144
Chiayi City,2021,11,126.2356495468278,2.4634146341463414,0.47209726443768996,24.24924012158055,24.268882175226587,77.75,48.48623853211009,15.820731707317073,18.382621951219512,2.5490853658536587,0.4419939577039275,48.274924471299094,77.21450151057402,2.314199395770393
Chiayi City,2021,12,99.34821428571429,2.40030959752322,0.4289090909090909,26.23179012345679,25.928571428571427,57.888888888888886,34.29819277108434,15.7075,18.255485893416928,2.5382445141065832,0.40982142857142856,34.87797619047619,58.81845238095238,2.1964285714285716
Chiayi City,2021,13,72.01796407185628,2.3150602409638554,0.3110240963855422,22.65121212121212,22.392215568862277,40.78181818181818,24.44242424242424,9.584090909090909,11.052272727272728,1.4623376623376623,0.27994011976047906,24.023952095808383,39.9311377245509,1.8323353293413174
Chiayi City,2021,14,87.4,3.266766467065868,0.4099402985074627,37.81826347305389,37.34626865671642,53.312312312312315,30.156156156156158,15.04567901234568,16.819753086419755,1.7567901234567902,0.3883582089552239,30.16417910447761,53.417910447761194,3.1552238805970148
Chiayi City,2021,15,88.43582089552238,3.4730886850152904,0.4248929663608563,35.1209726443769,35.13134328358209,61.76737160120846,30.68580060422961,13.871207430340556,15.280495356037154,1.415170278637771,0.3973134328358209,30.62089552238806,60.34925373134328,3.1492537313432836
Chiayi City,2021,16,82.80059523809524,2.497597597597598,0.3499404761904762,36.36066066066066,36.288690476190474,64.61077844311377,28.057057057057058,11.87190332326284,13.682477341389728,1.7915407854984895,0.3273809523809524,28.31547619047619,65.82440476190476,2.3363095238095237
Chiayi City,2021,17,66.21337579617834,1.969871794871795,0.402475884244373,31.07443365695793,30.420382165605094,41.14886731391586,21.83974358974359,13.472435897435897,15.4375,1.9455128205128205,0.37165605095541404,21.43949044585987,40.13694267515923,1.6560509554140128
Chiayi City,2021,18,60.54216867469879,2.2289156626506026,0.2845151515151515,25.725,26.102409638554217,44.75151515151515,19.342424242424244,10.193636363636363,11.43939393939394,1.2272727272727273,0.2671686746987952,19.8855421686747,45.66265060240964,2.069277108433735
Chiayi City,2021,19,35.244582043343655,1.7952978056426334,0.1715360501567398,20.710658307210032,20.13622291021672,25.91588785046729,10.763239875389408,6.918808777429467,8.553918495297806,1.6059561128526645,0.1476780185758514,10.761609907120743,25.430340557275542,1.6006191950464397
Chiayi City,2021,20,35.366366366366364,1.645045045045045,0.15273273273273272,20.942342342342343,20.4984984984985,24.274924471299094,10.833836858006043,6.3432432432432435,7.37987987987988,1.005105105105105,0.12972972972972974,10.831831831831831,24.1981981981982,1.3633633633633633
Chiayi City,2021,21,28.803625377643506,1.6006079027355624,0.16069908814589665,20.80369230769231,20.77643504531722,20.223241590214066,8.235474006116208,6.982674772036475,8.233738601823708,1.23161094224924,0.13595166163141995,8.34441087613293,20.19335347432024,1.4199395770392749
Chiayi City,2021,22,25.02089552238806,1.4345794392523366,0.17397553516819572,22.602453987730062,21.89090909090909,16.451219512195124,5.586626139817629,5.783529411764706,6.9941176470588236,1.2098039215686274,0.14865671641791045,5.585074626865672,16.19402985074627,1.2507462686567163
Chiayi City,2021,23,33.523809523809526,1.7783950617283952,0.21743902439024393,26.88080495356037,27.061728395061728,24.667673716012086,8.987915407854985,6.994754098360656,8.186229508196721,1.1744262295081966,0.1961309523809524,8.863095238095237,24.229166666666668,1.4910714285714286
Chiayi City,2021,24,22.229850746268657,1.46955223880597,0.1426268656716418,18.562089552238806,18.37910447761194,18.972972972972972,6.5225225225225225,4.50688622754491,5.559880239520958,1.0320359281437126,0.11850746268656717,6.450746268656716,18.582089552238806,1.2477611940298508
Chiayi City,2021,25,23.762762762762762,1.2542424242424242,0.16474474474474474,24.643865030674846,24.54954954954955,12.09667673716012,4.740181268882175,4.3086153846153845,6.009538461538461,1.6784615384615384,0.13993993993993994,4.741741741741742,12.006006006006006,1.0
Chiayi City,2021,26,21.837004405286343,1.340625,0.1448888888888889,17.675784753363228,17.26872246696035,17.91891891891892,6.4324324324324325,4.334545454545455,5.866818181818182,1.5,0.10660792951541852,6.211453744493392,17.370044052863435,0.9779735682819384
Chiayi City,2021,27,29.469135802469136,1.434567901234568,0.16351851851851854,22.667080745341615,21.753086419753085,19.658385093167702,7.833333333333333,11.41375,12.563522012578616,1.0981132075471698,0.1352469135802469,7.944444444444445,19.40740740740741,1.1728395061728396
Chiayi City,2021,28,26.15568862275449,0.9331250000000001,0.16622754491017966,23.838414634146343,23.51497005988024,15.833333333333334,5.331325301204819,12.607228915662652,14.019277108433734,1.3740963855421686,0.16149700598802394,5.251497005988024,15.602941176470589,0.39520958083832336
Chiayi City,2021,29,28.89032258064516,1.7428571428571427,0.16974025974025975,25.089655172413792,23.783783783783782,21.006493506493506,7.922077922077922,13.278523489932885,15.118791946308724,1.7959731543624162,0.1624516129032258,7.72258064516129,20.045161290322582,1.0129032258064516
Chiayi City,2021,30,28.738317757009344,1.7075471698113207,0.16135922330097088,26.298076923076923,26.485981308411215,17.085714285714285,7.914285714285715,7.439423076923077,8.718446601941748,1.2320388349514564,0.1588785046728972,7.962616822429907,17.037383177570092,1.1214953271028036
Chiayi City,2021,31,29.927272727272726,1.2742331288343558,0.18030674846625766,32.08343558282209,31.345454545454544,12.314814814814815,6.153374233128834,4.11717791411043,5.487116564417178,1.3239263803680983,0.179030303030303,6.175757575757576,11.836363636363636,0.9939393939393939
Chiayi City,2021,32,19.23489932885906,1.2743243243243243,0.1329054054054054,17.74137931034483,17.1875,9.819444444444445,4.052238805970149,3.600680272108843,5.292517006802721,1.6414965986394559,0.10308724832214766,4.082089552238806,9.136054421768707,0.9463087248322147
Chiayi City,2021,33,21.33132530120482,1.308695652173913,0.11884848484848484,18.62848484848485,18.512048192771083,13.757575757575758,5.651612903225806,3.5522292993630575,5.167515923566879,1.5745222929936304,0.06506024096385543,5.561290322580645,13.228915662650602,1.0180722891566265
Chiayi City,2021,34,36.583333333333336,1.2036585365853658,0.1480722891566265,24.06564417177914,23.171779141104295,20.682634730538922,11.10179640718563,4.4339393939393945,5.920606060606061,1.4466666666666665,0.09583333333333334,10.958333333333334,20.041666666666668,0.7678571428571429
Chiayi City,2021,35,35.42261904761905,1.589820359281437,0.1661676646706587,24.382608695652173,23.553571428571427,21.964071856287426,10.574850299401197,4.975449101796407,6.236526946107785,1.2149700598802395,0.12023809523809526,10.583333333333334,21.577380952380953,0.9940476190476191
Chiayi City,2021,36,42.964285714285715,1.8029940119760481,0.17279761904761906,27.77791411042945,27.373493975903614,27.44578313253012,13.275449101796408,5.179041916167664,6.97245508982036,1.7449101796407185,0.11964285714285715,13.232142857142858,26.672619047619047,1.2202380952380953
Chiayi City,2021,37,48.1497005988024,1.9042944785276072,0.19945454545454547,30.23354838709677,29.21656050955414,25.550898203592816,16.15568862275449,4.619753086419753,6.181481481481481,1.517283950617284,0.1508982035928144,15.550898203592814,24.592814371257486,1.3652694610778444
Chiayi City,2021,38,53.44047619047619,2.0559523809523808,0.20964285714285713,30.798181818181817,30.38095238095238,28.41566265060241,16.790419161676645,5.6030303030303035,6.913333333333334,1.269090909090909,0.15595238095238098,16.821428571428573,27.636904761904763,1.494047619047619
Chiayi City,2021,39,81.91071428571429,2.6259036144578314,0.3208433734939759,45.034591194968556,44.017857142857146,43.91463414634146,26.03030303030303,8.988957055214724,10.148466257668712,1.116564417177914,0.2726190476190476,26.160714285714285,43.726190476190474,2.232142857142857
Chiayi City,2021,40,71.10714285714286,1.9440476190476192,0.25529761904761905,42.575308641975305,42.30357142857143,37.550898203592816,22.221556886227546,7.5355421686746995,8.967469879518072,1.3879518072289156,0.20595238095238097,22.148809523809526,37.017857142857146,1.4880952380952381
Chiayi City,2021,41,41.70238095238095,1.651497005988024,0.25568862275449106,22.75151515151515,22.220238095238095,24.283132530120483,12.275449101796408,8.634131736526946,10.404790419161676,1.717365269461078,0.20535714285714285,12.494047619047619,24.136904761904763,1.0892857142857142
Chiayi City,2021,42,56.23809523809524,3.3476190476190473,0.35517857142857145,33.537951807228914,33.13095238095238,33.86746987951807,16.982035928143713,13.104819277108435,15.228915662650602,2.081927710843374,0.3059523809523809,16.863095238095237,33.61309523809524,2.6845238095238093
Chiayi City,2021,43,64.7202380952381,2.9976047904191616,0.347125748502994,35.00914634146341,34.36904761904762,43.62048192771084,20.580838323353294,14.165868263473053,16.290419161676645,2.073053892215569,0.29523809523809524,20.488095238095237,42.892857142857146,2.5357142857142856
Chiayi City,2021,44,79.36904761904762,3.45,0.3629090909090909,36.44879518072289,36.32142857142857,49.24698795180723,26.801204819277107,12.240718562874251,13.945508982035928,1.6658682634730537,0.3101190476190476,26.63095238095238,48.55952380952381,2.761904761904762
Chiayi City,2021,45,62.398809523809526,3.5371257485029943,0.3682424242424242,27.073333333333334,26.56547619047619,43.02994011976048,19.77710843373494,16.793413173652695,19.3814371257485,2.553892215568862,0.3208333333333333,19.708333333333332,42.94642857142857,3.1964285714285716
